attribute,group,n,small_group_warning,actual_risk_rate,predicted_risk_rate,precision,recall,false_positive_rate,accuracy
gender,F,2429,False,0.4256895841910251,0.5804857966241251,0.5780141843971631,0.7882011605415861,0.4265232974910394,0.6648826677645121
gender,M,3075,False,0.4533333333333333,0.6256910569105691,0.6262993762993763,0.8644189383070301,0.4277215942891136,0.7047154471544715
age_band,0-35,3874,False,0.46489416623644814,0.6437790397521941,0.6122694466720129,0.8478622987229317,0.4664737095996141,0.679659266907589
age_band,35-55,1597,False,0.3876017532874139,0.5184721352536005,0.5881642512077294,0.7867528271405493,0.3486707566462168,0.7038196618659988
disability,N,4986,False,0.43080625752105894,0.5908543922984356,0.5994568906992532,0.8221601489757915,0.41578576462297395,0.6867228239069394
disability,Y,518,False,0.5405405405405406,0.749034749034749,0.654639175257732,0.9071428571428571,0.5630252100840336,0.6911196911196911
imd_band,0-10%,548,False,0.5784671532846716,0.7992700729927007,0.6712328767123288,0.9274447949526814,0.6233766233766234,0.6952554744525548
imd_band,10-20,582,False,0.5171821305841925,0.7439862542955327,0.6235565819861432,0.8970099667774086,0.5800711743772242,0.6666666666666666
imd_band,20-30%,585,False,0.4888888888888889,0.6461538461538462,0.6481481481481481,0.8566433566433567,0.44481605351170567,0.7025641025641025
imd_band,30-40%,609,False,0.48111658456486045,0.6272577996715928,0.6308900523560209,0.8225255972696246,0.4462025316455696,0.6830870279146142
imd_band,40-50%,584,False,0.4143835616438356,0.6044520547945206,0.5694050991501416,0.8305785123966942,0.4444444444444444,0.6695205479452054
imd_band,50-60%,514,False,0.4066147859922179,0.5992217898832685,0.5746753246753247,0.84688995215311,0.42950819672131146,0.6828793774319066
imd_band,60-70%,488,False,0.38729508196721313,0.5163934426229508,0.5515873015873016,0.7354497354497355,0.3779264214046823,0.6659836065573771
imd_band,70-80%,467,False,0.4668094218415418,0.5910064239828694,0.6268115942028986,0.7935779816513762,0.41365461847389556,0.683083511777302
imd_band,80-90%,473,False,0.3572938689217759,0.47357293868921774,0.5758928571428571,0.7633136094674556,0.3125,0.7145877378435518
imd_band,90-100%,453,False,0.31346578366445915,0.4260485651214128,0.538860103626943,0.7323943661971831,0.2861736334405145,0.7196467991169978
imd_band,nan,201,False,0.30845771144278605,0.48258706467661694,0.4845360824742268,0.7580645161290323,0.3597122302158273,0.6766169154228856
highest_education,A Level or Equivalent,2434,False,0.37962202136400985,0.5094494658997535,0.5733870967741935,0.7694805194805194,0.35033112582781456,0.695152013147083
highest_education,HE Qualification,887,False,0.36753100338218714,0.47576099210823,0.5687203791469194,0.7361963190184049,0.3244206773618538,0.6978579481397971
highest_education,Lower Than A Level,2084,False,0.5431861804222649,0.7720729366602687,0.6401491609695463,0.9098939929328622,0.6081932773109243,0.6732245681381958
highest_education,Post Graduate Qualification,51,True,0.29411764705882354,0.35294117647058826,0.5,0.6,0.25,0.7058823529411765
