feature,source_feature,coefficient,abs_coefficient,model_direction,interpretation_warning
cat__code_module_AAA,code_module,-0.6287689726080428,0.6287689726080428,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__code_module_FFF,code_module,0.5504760259597522,0.5504760259597522,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__weighted_assessment_score_28d,weighted_assessment_score_28d,-0.48277157530796944,0.48277157530796944,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__code_module_DDD,code_module,0.46785640690314195,0.46785640690314195,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__assessment_weight_completed_28d,assessment_weight_completed_28d,0.4123859138359464,0.4123859138359464,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__code_module_GGG,code_module,-0.40740730258797103,0.40740730258797103,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__highest_education_Lower Than A Level,highest_education,0.37249517778273383,0.37249517778273383,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__highest_education_No Formal quals,highest_education,0.34637685609945024,0.34637685609945024,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__code_module_BBB,code_module,-0.3419933552349997,0.3419933552349997,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__code_module_EEE,code_module,0.3409507207213191,0.3409507207213191,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__assessment_completion_rate_28d,assessment_completion_rate_28d,-0.3404578911104825,0.3404578911104825,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__highest_education_Post Graduate Qualification,highest_education,-0.31586317638824457,0.31586317638824457,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__active_days_28d,active_days_28d,-0.315022423225511,0.315022423225511,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__assessments_missed_28d,assessments_missed_28d,0.2921923042522966,0.2921923042522966,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__unique_sites_28d,unique_sites_28d,-0.28393351346368517,0.28393351346368517,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__assessment_weight_due_28d,assessment_weight_due_28d,-0.25974137732472063,0.25974137732472063,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__imd_band_0-10%,imd_band,0.2579484485220673,0.2579484485220673,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__highest_education_HE Qualification,highest_education,-0.24870073993413938,0.24870073993413938,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__late_submissions_28d,late_submissions_28d,0.24834499144931751,0.24834499144931751,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__imd_band_10-20,imd_band,0.24094986465285106,0.24094986465285106,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__region_Wales,region,0.22236567552288034,0.22236567552288034,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__days_since_last_activity_28d,days_since_last_activity_28d,0.21812514317366938,0.21812514317366938,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__assessments_submitted_28d,assessments_submitted_28d,-0.21179807810068857,0.21179807810068857,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__region_North Region,region,-0.2097891566143042,0.2097891566143042,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__imd_band_90-100%,imd_band,-0.20533225026524313,0.20533225026524313,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__region_Scotland,region,0.19558748317643548,0.19558748317643548,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__has_early_assessment_28d,has_early_assessment_28d,0.17017590857064116,0.17017590857064116,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__imd_band_80-90%,imd_band,-0.1695949202134836,0.1695949202134836,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__highest_education_A Level or Equivalent,highest_education,-0.15860493371288215,0.15860493371288215,lower model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
num__vle_clicks_subpage_28d,vle_clicks_subpage_28d,0.15586773652854558,0.15586773652854558,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
cat__code_presentation_2013B,code_presentation,0.14293154146859577,0.14293154146859577,higher model log-odds of risk when this transformed feature increases/is active,Coefficient direction is conditional on the fitted transformed feature space and regularization; it is not causal.
